site,use,veg,trap,trap_id,otu,n
DEMAR,high,high,1,DEMAR-1,diptera,14
DEMAR,high,high,1,DEMAR-1,hemiptera,1
DEMAR,high,high,1,DEMAR-1,hymenoptera,9
DEMAR,high,high,2,DEMAR-2,coleoptera,1
DEMAR,high,high,2,DEMAR-2,diptera,10
DEMAR,high,high,2,DEMAR-2,hemiptera,2
DEMAR,high,high,2,DEMAR-2,hymenoptera,7
DEMAR,high,high,2,DEMAR-2,acari,1
DEMAR,high,high,3,DEMAR-3,coleoptera,3
DEMAR,high,high,3,DEMAR-3,diptera,14
DEMAR,high,high,3,DEMAR-3,hymenoptera,1
DEMAR,high,high,3,DEMAR-3,collembola,2
DEMAR,high,high,3,DEMAR-3,araneae,1
DEMAR,high,high,4,DEMAR-4,coleoptera,2
DEMAR,high,high,4,DEMAR-4,diptera,4
DEMAR,high,high,4,DEMAR-4,hymenoptera,8
DEMAR,high,high,4,DEMAR-4,acari,1
DEMAR,high,high,4,DEMAR-4,araneae,1
DEMAR,high,high,4,DEMAR-4,isopoda,1
DEMAR,high,high,5,DEMAR-5,coleoptera,2
DEMAR,high,high,5,DEMAR-5,diptera,7
DEMAR,high,high,5,DEMAR-5,hemiptera,2
DEMAR,high,high,5,DEMAR-5,hymenoptera,7
DEMAR,high,high,5,DEMAR-5,acari,2
DEMAR,high,high,6,DEMAR-6,coleoptera,3
DEMAR,high,high,6,DEMAR-6,diptera,8
DEMAR,high,high,6,DEMAR-6,hemiptera,2
DEMAR,high,high,6,DEMAR-6,hymenoptera,2
DEMAR,high,high,6,DEMAR-6,araneae,2
DEMAR,high,high,6,DEMAR-6,homoptera,1
DEMAR,high,high,7,DEMAR-7,coleoptera,3
DEMAR,high,high,7,DEMAR-7,diptera,11
DEMAR,high,high,7,DEMAR-7,hemiptera,7
DEMAR,high,high,7,DEMAR-7,hymenoptera,9
DEMAR,high,high,7,DEMAR-7,acari,2
DEMAR,high,high,8,DEMAR-8,diptera,15
DEMAR,high,high,8,DEMAR-8,hemiptera,2
DEMAR,high,high,8,DEMAR-8,hymenoptera,2
DEMAR,high,high,8,DEMAR-8,araneae,1
DEMAR,high,high,9,DEMAR-9,diptera,49
DEMAR,high,high,9,DEMAR-9,hemiptera,7
DEMAR,high,high,9,DEMAR-9,hymenoptera,2
DEMAR,high,high,9,DEMAR-9,collembola,1
DEMAR,high,high,9,DEMAR-9,acari,1
DEMAR,high,high,10,DEMAR-10,coleoptera,3
DEMAR,high,high,10,DEMAR-10,diptera,10
DEMAR,high,high,10,DEMAR-10,hemiptera,1
DEMAR,high,high,10,DEMAR-10,hymenoptera,5
DEMAR,high,high,10,DEMAR-10,acari,2
DEMAR,high,high,10,DEMAR-10,araneae,1
DEMAR,high,high,11,DEMAR-11,coleoptera,2
DEMAR,high,high,11,DEMAR-11,diptera,17
DEMAR,high,high,11,DEMAR-11,hemiptera,1
DEMAR,high,high,11,DEMAR-11,hymenoptera,23
DEMAR,high,high,11,DEMAR-11,collembola,1
DEMAR,high,high,11,DEMAR-11,acari,1
DEMAR,high,high,11,DEMAR-11,araneae,3
DEMAR,high,high,11,DEMAR-11,pseudoscorpiones,1
DEMAR,high,high,12,DEMAR-12,coleoptera,4
DEMAR,high,high,12,DEMAR-12,diptera,5
DEMAR,high,high,12,DEMAR-12,hemiptera,1
DEMAR,high,high,12,DEMAR-12,hymenoptera,2
DEMAR,high,high,12,DEMAR-12,acari,1
EMONI,high,low,1,EMONI-1,coleoptera,4
EMONI,high,low,1,EMONI-1,diptera,56
EMONI,high,low,1,EMONI-1,hymenoptera,2
EMONI,high,low,1,EMONI-1,collembola,1
EMONI,high,low,1,EMONI-1,embioptera,5
EMONI,high,low,1,EMONI-1,gastropoda,1
EMONI,high,low,2,EMONI-2,coleoptera,1
EMONI,high,low,2,EMONI-2,diptera,6
EMONI,high,low,2,EMONI-2,hymenoptera,43
EMONI,high,low,2,EMONI-2,araneae,1
EMONI,high,low,3,EMONI-3,diptera,7
EMONI,high,low,3,EMONI-3,hemiptera,1
EMONI,high,low,3,EMONI-3,hymenoptera,7
EMONI,high,low,3,EMONI-3,gastropoda,1
EMONI,high,low,4,EMONI-4,diptera,13
EMONI,high,low,4,EMONI-4,hemiptera,2
EMONI,high,low,4,EMONI-4,hymenoptera,15
EMONI,high,low,4,EMONI-4,orthoptera,1
EMONI,high,low,5,EMONI-5,diptera,15
EMONI,high,low,5,EMONI-5,hymenoptera,5
EMONI,high,low,6,EMONI-6,diptera,10
EMONI,high,low,6,EMONI-6,hymenoptera,3
EMONI,high,low,6,EMONI-6,lizard,1
EMONI,high,low,7,EMONI-7,coleoptera,1
EMONI,high,low,7,EMONI-7,diptera,25
EMONI,high,low,7,EMONI-7,hymenoptera,9
EMONI,high,low,7,EMONI-7,lepidoptera,1
EMONI,high,low,7,EMONI-7,araneae,1
EMONI,high,low,8,EMONI-8,coleoptera,4
EMONI,high,low,8,EMONI-8,diptera,10
EMONI,high,low,8,EMONI-8,hemiptera,3
EMONI,high,low,8,EMONI-8,hymenoptera,7
EMONI,high,low,9,EMONI-9,coleoptera,2
EMONI,high,low,9,EMONI-9,diptera,22
EMONI,high,low,9,EMONI-9,hymenoptera,7
